#Time (ms)    Vrms
     0.0     1510.00
  1708.7     1510.00
  1885.8     1526.01
  2072.7     1561.65
  2360.8     1623.19
  2599.1     1675.02
  2762.0     1691.22
  3082.7     1956.85
  3504.7     2368.70
  3870.6     2511.06
  4229.5     2735.18
  5523.8     2771.53
  5954.7     2821.77
  6968.1     2847.68
  7527.0     2860.64
  7978.4     2909.23
