#Time (ms)    Vrms
     0.0     1522.77
  1759.7     1522.77
  1870.7     1526.01
  1976.7     1535.73
  2176.9     1555.17
  2314.9     1629.67
  2451.2     1649.11
  2653.1     1713.90
  2937.5     1801.36
  3326.1     2135.02
  3788.8     2342.34
  4081.1     2562.54
  4522.9     2783.64
  5351.3     2980.52
  6775.4     3216.97
  7953.2     3375.70
